YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2016,$230900,$350700,$581600,$230900,$350700,$581600,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,06/09/2016,$580000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
2018,$315600,$387600,$703200,$315600,$387600,$703200,46 DAVIS CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3145,09/01/2015,$830000.00,Residential,Old Style,1666,14356,28,2,7,3 Bedrooms,2,0
2017,$322200,$369200,$691400,$322200,$369200,$691400,46 DAVIS CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3145,09/01/2015,$830000.00,Residential,Old Style,1666,14356,28,2,7,3 Bedrooms,2,0
2016,$285800,$369200,$655000,$285800,$369200,$655000,46 DAVIS CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3145,09/01/2015,$830000.00,Residential,Old Style,1666,14356,28,2,7,3 Bedrooms,2,0
2018,$200700,$387600,$588300,$200700,$387600,$588300,62 BEDFORD CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3157,11/04/2016,$595000.00,Residential,Cape Cod,1428,14356,28,1 3/4 Stories,6 Rooms,3 Bedrooms,2,0
2017,$200700,$369200,$569900,$200700,$369200,$569900,62 BEDFORD CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3157,11/04/2016,$595000.00,Residential,Cape Cod,1428,14356,28,1 3/4 Stories,6 Rooms,3 Bedrooms,2,0
2016,$177300,$369200,$546500,$177300,$369200,$546500,62 BEDFORD CT,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3157,11/04/2016,$595000.00,Residential,Cape Cod,1428,14356,28,1 3/4 Stories,6 Rooms,3 Bedrooms,2,0
2018,$195100,$435400,$630500,$195100,$435400,$630500,147 CAMBRIDGE TPKE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3280,05/04/2016,$705000.00,Residential,Colonial,1654,22447,28,2 Stories,9,3 Bedrooms,1,1
2017,$195100,$414700,$609800,$195100,$414700,$609800,147 CAMBRIDGE TPKE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3280,05/04/2016,$705000.00,Residential,Colonial,1654,22447,28,2 Stories,9,3 Bedrooms,1,1
2016,$182700,$414700,$597400,$182700,$414700,$597400,147 CAMBRIDGE TPKE,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3280,05/04/2016,$705000.00,Residential,Colonial,1654,22447,28,2 Stories,9,3 Bedrooms,1,1
